seed,activation,epoch,train_loss,test_loss,generalization_gap
51,relu,0,2.3515540,2.3525741,0.0010201
51,relu,1,2.0241089,2.0186042,-0.0055047
51,relu,2,1.9361995,1.9295183,-0.0066812
51,relu,3,1.8097273,1.8055239,-0.0042034
51,relu,4,1.6673022,1.6625978,-0.0047044
51,relu,5,1.5785125,1.5734045,-0.0051080
51,relu,6,1.5335428,1.5301078,-0.0034351
51,relu,7,1.4913396,1.4882638,-0.0030758
51,relu,8,1.4373451,1.4373576,0.0000126
51,relu,9,1.4069239,1.4117440,0.0048201
51,relu,10,1.3950311,1.4030914,0.0080603
51,relu,11,1.3912819,1.4004912,0.0092094
51,relu,12,1.3512520,1.3611652,0.0099132
51,relu,13,1.3257516,1.3344616,0.0087101
51,relu,14,1.3266965,1.3429094,0.0162129
51,relu,15,1.2988114,1.3110342,0.0122227
51,reglu,0,2.2948904,2.2941882,-0.0007022
51,reglu,1,2.0435882,2.0367162,-0.0068720
51,reglu,2,1.9417211,1.9346880,-0.0070331
51,reglu,3,1.8504880,1.8473559,-0.0031320
51,reglu,4,1.7950148,1.7904705,-0.0045443
51,reglu,5,1.6985963,1.6933991,-0.0051972
51,reglu,6,1.6351542,1.6351893,0.0000350
51,reglu,7,1.6000087,1.5996417,-0.0003670
51,reglu,8,1.5463370,1.5461742,-0.0001628
51,reglu,9,1.5364554,1.5385739,0.0021185
51,reglu,10,1.4759344,1.4748371,-0.0010973
51,reglu,11,1.4469536,1.4505174,0.0035638
51,reglu,12,1.4389327,1.4401052,0.0011725
51,reglu,13,1.3982738,1.3994104,0.0011367
51,reglu,14,1.4018506,1.3990638,-0.0027868
51,reglu,15,1.3560672,1.3564999,0.0004328
52,relu,0,2.3278079,2.3268753,-0.0009326
52,relu,1,2.0086800,2.0016194,-0.0070605
52,relu,2,1.9148068,1.9080652,-0.0067416
52,relu,3,1.7925183,1.7896885,-0.0028298
52,relu,4,1.6686367,1.6681998,-0.0004369
52,relu,5,1.6045458,1.6081185,0.0035727
52,relu,6,1.5119119,1.5207818,0.0088699
52,relu,7,1.4349611,1.4485472,0.0135862
52,relu,8,1.3991676,1.4087035,0.0095360
52,relu,9,1.3912505,1.4010006,0.0097501
52,relu,10,1.3799030,1.3966532,0.0167502
52,relu,11,1.3625410,1.3814496,0.0189086
52,relu,12,1.3297346,1.3440815,0.0143469
52,relu,13,1.3114415,1.3298742,0.0184327
52,relu,14,1.2997472,1.3218908,0.0221437
52,relu,15,1.3108047,1.3245403,0.0137356
52,reglu,0,2.3040742,2.3028850,-0.0011892
52,reglu,1,1.9885368,1.9831874,-0.0053494
52,reglu,2,1.8586700,1.8494063,-0.0092637
52,reglu,3,1.7585352,1.7489648,-0.0095704
52,reglu,4,1.6787269,1.6706385,-0.0080884
52,reglu,5,1.6194808,1.6149861,-0.0044946
52,reglu,6,1.5691795,1.5683216,-0.0008579
52,reglu,7,1.5266102,1.5264393,-0.0001709
52,reglu,8,1.4705903,1.4663134,-0.0042769
52,reglu,9,1.4280047,1.4277492,-0.0002555
52,reglu,10,1.4265574,1.4295582,0.0030007
52,reglu,11,1.3967450,1.3936305,-0.0031145
52,reglu,12,1.3522315,1.3523834,0.0001520
52,reglu,13,1.3611417,1.3624401,0.0012985
52,reglu,14,1.3224421,1.3259120,0.0034699
52,reglu,15,1.3138893,1.3205828,0.0066935
53,relu,0,2.3627855,2.3653645,0.0025790
53,relu,1,1.9990843,1.9922648,-0.0068195
53,relu,2,1.9114229,1.9061378,-0.0052850
53,relu,3,1.8161777,1.8128308,-0.0033469
53,relu,4,1.6611329,1.6577801,-0.0033528
53,relu,5,1.6061176,1.6031500,-0.0029675
53,relu,6,1.5202907,1.5149731,-0.0053176
53,relu,7,1.4741586,1.4685745,-0.0055841
53,relu,8,1.4254427,1.4279136,0.0024709
53,relu,9,1.4009441,1.4055239,0.0045798
53,relu,10,1.3851986,1.3932854,0.0080868
53,relu,11,1.3615849,1.3738748,0.0122899
53,relu,12,1.3674499,1.3784639,0.0110140
53,relu,13,1.3334464,1.3498678,0.0164214
53,relu,14,1.3181418,1.3328476,0.0147059
53,relu,15,1.3088405,1.3260066,0.0171661
53,reglu,0,2.3094538,2.3118167,0.0023629
53,reglu,1,1.9738230,1.9708019,-0.0030210
53,reglu,2,1.8526009,1.8530959,0.0004950
53,reglu,3,1.7685486,1.7693754,0.0008268
53,reglu,4,1.6668836,1.6653937,-0.0014899
53,reglu,5,1.6026107,1.5987241,-0.0038866
53,reglu,6,1.5618627,1.5619173,0.0000546
53,reglu,7,1.5076470,1.5099235,0.0022765
53,reglu,8,1.4516195,1.4547648,0.0031453
53,reglu,9,1.4472185,1.4492081,0.0019896
53,reglu,10,1.4107211,1.4161281,0.0054070
53,reglu,11,1.4044000,1.4134371,0.0090371
53,reglu,12,1.3838219,1.3926754,0.0088536
53,reglu,13,1.3484244,1.3542176,0.0057932
53,reglu,14,1.3436429,1.3517170,0.0080741
53,reglu,15,1.3218993,1.3316520,0.0097527
