architecture,activation,seed,condition_number,parameter_count,sample_count
vit,relu,41,850.4995966007872,8406016,8
vit,reglu,41,424.6933271125390,8373584,8
vit,gelu,41,1277.6503211680458,8406016,8
vit,geglu,41,557.7833487438674,8373584,8
vit,silu,41,1276.7955813233820,8406016,8
vit,swiglu,41,577.7447398743526,8373584,8
vit,relu,42,588.4328561548030,8406016,8
vit,reglu,42,442.9843886608977,8373584,8
vit,gelu,42,1035.6666651782643,8406016,8
vit,geglu,42,504.5564569823604,8373584,8
vit,silu,42,1017.8097838523935,8406016,8
vit,swiglu,42,505.3916918896489,8373584,8
vit,relu,43,671.1839649738233,8406016,8
vit,reglu,43,508.1960728307735,8373584,8
vit,gelu,43,1256.8363138816703,8406016,8
vit,geglu,43,598.7555944366167,8373584,8
vit,silu,43,1275.4957840007603,8406016,8
vit,swiglu,43,611.0622558792026,8373584,8
vit,relu,44,733.0421623361553,8406016,8
vit,reglu,44,491.5087483541470,8373584,8
vit,gelu,44,1287.9317333231493,8406016,8
vit,geglu,44,616.2889271831519,8373584,8
vit,silu,44,1342.3245080864560,8406016,8
vit,swiglu,44,651.6149552789237,8373584,8
gpt2,relu,41,5.709656266992379,56669184,8
gpt2,reglu,41,1.4412457032590482,56681472,8
gpt2,gelu,41,2.994959990794543,56669184,8
gpt2,geglu,41,1.585417505244575,56681472,8
gpt2,silu,41,2.284037838018730,56669184,8
gpt2,swiglu,41,1.4659847160206594,56681472,8
gpt2,relu,42,5.580637513668645,56669184,8
gpt2,reglu,42,1.3690084073660884,56681472,8
gpt2,gelu,42,3.022550043226821,56669184,8
gpt2,geglu,42,1.2895684130323841,56681472,8
gpt2,silu,42,2.358896955472903,56669184,8
gpt2,swiglu,42,1.3042895114118453,56681472,8
gpt2,relu,43,5.598139310980154,56669184,8
gpt2,reglu,43,1.340807448840653,56681472,8
gpt2,gelu,43,2.852658944191763,56669184,8
gpt2,geglu,43,1.3775872372638795,56681472,8
gpt2,silu,43,2.1554202032746264,56669184,8
gpt2,swiglu,43,1.4071988718560116,56681472,8
gpt2,relu,44,5.697350676339850,56669184,8
gpt2,reglu,44,1.3490484793940032,56681472,8
gpt2,gelu,44,2.9511959496597493,56669184,8
gpt2,geglu,44,1.3506030801360394,56681472,8
gpt2,silu,44,2.221890670066432,56669184,8
gpt2,swiglu,44,1.3416977030057229,56681472,8
